accuracy,precision,recall,f1,pr_auc,model,household,scenario,split_type,leak_start,leak_end
1.0,1.0,1.0,1.0,1.0,Gradient Boosting,hh-04,Single seasonal-profile imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9951317981893247,0.4356385663806159,0.9988425925925926,0.6066783831282953,0.5616026008103688,Isolation Forest best gamma=0.005,hh-04,Single seasonal-profile imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9962411739370658,0.0,0.0,0.0,,Majority baseline,hh-04,Gap-adaptive imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9870007265323525,0.22429906542056074,1.0,0.366412213740458,1.0,Night threshold,hh-04,Gap-adaptive imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Random Forest,hh-04,Gap-adaptive imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
1.0,1.0,1.0,1.0,1.0,Gradient Boosting,hh-04,Gap-adaptive imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.9951187467099396,0.43497983870967744,0.9988425925925926,0.6060393258426966,0.7652978024849972,Isolation Forest best gamma=0.005,hh-04,Gap-adaptive imputation,stratified,2022-01-24 19:29:00+00:00,2022-01-26 19:28:00+00:00
0.995810198094222,0.0,0.0,0.0,,Majority baseline,hh-05,No missingness/original,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9579758989404262,0.005827210539650367,0.05324074074074074,0.010504681434117378,0.0362418705864227,Night threshold,hh-05,No missingness/original,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999903013844774,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.9999973223648477,Random Forest,hh-05,No missingness/original,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9997332880731276,1.0,0.9363425925925926,0.9671249252839211,0.9377258666949572,Gradient Boosting,hh-05,No missingness/original,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9478650922580801,0.042903374942209895,0.5370370370370371,0.07945885777891942,0.03782998672949765,Isolation Forest best gamma=0.05,hh-05,No missingness/original,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.995810198094222,0.0,0.0,0.0,,Majority baseline,hh-05,Single linear imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9581116795577431,0.005847953216374269,0.05324074074074074,0.010538373424971364,0.03636307914389114,Night threshold,hh-05,Single linear imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999903013844774,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.9999973223648477,Random Forest,hh-05,Single linear imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999854520767161,0.9965397923875432,1.0,0.9982668977469671,0.9999231251638264,Gradient Boosting,hh-05,Single linear imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9489270906578086,0.057973664959765914,0.7337962962962963,0.10745762711864407,0.048906450193970184,Isolation Forest best gamma=0.05,hh-05,Single linear imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.995810198094222,0.0,0.0,0.0,,Majority baseline,hh-05,Single forward-fill imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9581116795577431,0.005847953216374269,0.05324074074074074,0.010538373424971364,0.0363632793254605,Night threshold,hh-05,Single forward-fill imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999903013844774,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.9999973223648477,Random Forest,hh-05,Single forward-fill imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9996120553790946,1.0,0.9074074074074074,0.9514563106796117,0.9100377927362292,Gradient Boosting,hh-05,Single forward-fill imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9487282690395946,0.05071726052753355,0.6342592592592593,0.09392407232839146,0.044153094554247665,Isolation Forest best gamma=0.05,hh-05,Single forward-fill imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.995810198094222,0.0,0.0,0.0,,Majority baseline,hh-05,Single seasonal-profile imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9581116795577431,0.005847953216374269,0.05324074074074074,0.010538373424971364,0.03636331731239752,Night threshold,hh-05,Single seasonal-profile imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999903013844774,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.9999973223648477,Random Forest,hh-05,Single seasonal-profile imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9996120553790946,1.0,0.9074074074074074,0.9514563106796117,0.9100377927362292,Gradient Boosting,hh-05,Single seasonal-profile imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9486070363455616,0.05192413920088382,0.6527777777777778,0.09619648644038888,0.04505108327447474,Isolation Forest best gamma=0.05,hh-05,Single seasonal-profile imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.995810198094222,0.0,0.0,0.0,,Majority baseline,hh-05,Gap-adaptive imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9581116795577431,0.005847953216374269,0.05324074074074074,0.010538373424971364,0.036206197892472265,Night threshold,hh-05,Gap-adaptive imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999903013844774,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.9999986619567545,Random Forest,hh-05,Gap-adaptive imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9999806027689547,0.9953917050691244,1.0,0.9976905311778291,0.9870346243355459,Gradient Boosting,hh-05,Gap-adaptive imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9487816114249691,0.05382775119617225,0.6770833333333334,0.099727241732015,0.04447250630673573,Isolation Forest best gamma=0.05,hh-05,Gap-adaptive imputation,stratified,2021-11-22 23:57:00+00:00,2021-11-24 23:56:00+00:00
0.9917647619501502,0.0,0.0,0.0,,Majority baseline,hh-06,No missingness/original,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9445169899442406,0.05009983663096751,0.3194444444444444,0.08661540875568806,0.08495582256185882,Night threshold,hh-06,No missingness/original,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9999809369489587,1.0,0.9976851851851852,0.9988412514484357,1.0,Random Forest,hh-06,No missingness/original,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9999428108468761,0.9953810623556582,0.9976851851851852,0.9965317919075144,0.998947854152906,Gradient Boosting,hh-06,No missingness/original,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9875232330934566,0.37350767481523595,0.7604166666666666,0.5009531071292413,0.32265458608862063,Isolation Forest best gamma=0.01,hh-06,No missingness/original,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9917647619501502,0.0,0.0,0.0,,Majority baseline,hh-06,Single linear imputation,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9429061621312491,0.03568840579710145,0.22800925925925927,0.06171679197994987,0.0818053669424725,Night threshold,hh-06,Single linear imputation,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
0.9999904684744794,1.0,0.9988425925925926,0.9994209612044007,1.0,Random Forest,hh-06,Single linear imputation,stratified,2021-07-21 04:25:00+00:00,2021-07-23 04:24:00+00:00
