gap_class,n_samples,mae_lpm,rmse_lpm,household,scenario
small,15,0.05195975787331933,0.05668852010843566,hh-06,Gap-adaptive imputation
huge,1800,0.18736931936544252,0.47266862771231277,hh-07,Single linear imputation
large,720,0.31647089897946756,0.8346921471827922,hh-07,Single linear imputation
medium,120,0.9003166263226986,1.1256766842347228,hh-07,Single linear imputation
micro,3,0.05154852102721036,0.06288319621863488,hh-07,Single linear imputation
small,15,0.050377135567203545,0.05930610051425405,hh-07,Single linear imputation
huge,1800,0.14375216608161084,0.4887660773461202,hh-07,Single forward-fill imputation
large,720,0.31647089897946756,0.8346921471827922,hh-07,Single forward-fill imputation
medium,120,0.3479958365900368,0.9231114738921747,hh-07,Single forward-fill imputation
micro,3,0.040052603364618626,0.04695710209114307,hh-07,Single forward-fill imputation
small,15,0.041825902278857845,0.06601712214389995,hh-07,Single forward-fill imputation
huge,1800,0.1432244197881538,0.4820636086864509,hh-07,Single seasonal-profile imputation
large,720,0.313253485637596,0.8246483931543214,hh-07,Single seasonal-profile imputation
medium,120,0.34062359370626777,0.9100130942858173,hh-07,Single seasonal-profile imputation
micro,3,0.049439359223229985,0.0651016689730067,hh-07,Single seasonal-profile imputation
small,15,0.041083835623770694,0.06502130922213828,hh-07,Single seasonal-profile imputation
huge,1800,0.21808381870521895,0.4641256633890599,hh-07,Gap-adaptive imputation
large,720,0.3832179930605157,0.7808279256941603,hh-07,Gap-adaptive imputation
medium,120,0.34062359370626777,0.9100130942858173,hh-07,Gap-adaptive imputation
micro,3,0.05154852102721036,0.06288319621863488,hh-07,Gap-adaptive imputation
small,15,0.050377135567203545,0.05930610051425405,hh-07,Gap-adaptive imputation
huge,1800,0.11644356314361887,0.14645748364503722,hh-08,Single linear imputation
large,720,0.38612475785563355,1.194761948959322,hh-08,Single linear imputation
medium,120,0.055524420677209,0.09955189310498574,hh-08,Single linear imputation
micro,3,0.09676148418299069,0.12931634525487587,hh-08,Single linear imputation
small,15,0.04199998311115827,0.061504722678774174,hh-08,Single linear imputation
huge,1800,0.12128944766145124,0.15165170478467166,hh-08,Single forward-fill imputation
large,720,0.38545836770364067,1.193050241754473,hh-08,Single forward-fill imputation
medium,120,0.055524420677209,0.09955189310498574,hh-08,Single forward-fill imputation
micro,3,0.09999969047046886,0.1232896779232995,hh-08,Single forward-fill imputation
small,15,0.04065031641536431,0.06273621692413535,hh-08,Single forward-fill imputation
huge,1800,0.257568897621423,0.28848985855308523,hh-08,Single seasonal-profile imputation
large,720,0.3885563755640809,1.1696952520964967,hh-08,Single seasonal-profile imputation
medium,120,0.08467485631722083,0.09570258467680802,hh-08,Single seasonal-profile imputation
micro,3,0.22958050433641272,0.2598538275020465,hh-08,Single seasonal-profile imputation
small,15,0.060638999183163844,0.06805863555192274,hh-08,Single seasonal-profile imputation
huge,1800,0.20533545429314023,0.27213354340988555,hh-08,Gap-adaptive imputation
large,720,0.5003013897455736,1.1148193986175154,hh-08,Gap-adaptive imputation
medium,120,0.08467485631722083,0.09570258467680802,hh-08,Gap-adaptive imputation
micro,3,0.09676148418299069,0.12931634525487587,hh-08,Gap-adaptive imputation
small,15,0.04199998311115827,0.061504722678774174,hh-08,Gap-adaptive imputation
huge,1800,0.06169171178254713,0.07749950974635211,hh-09,Single linear imputation
large,720,0.36770454351345877,0.7771297846356732,hh-09,Single linear imputation
medium,120,0.698537209206586,1.4798999524927003,hh-09,Single linear imputation
micro,3,3.201316178870966,3.208365115775303,hh-09,Single linear imputation
small,15,0.025439548223461277,0.05203893093830659,hh-09,Single linear imputation
huge,1800,0.06177089383167677,0.07760512242075719,hh-09,Single forward-fill imputation
large,720,0.37323570566716524,0.7632744539456215,hh-09,Single forward-fill imputation
medium,120,0.7032222362603703,1.4429173753997344,hh-09,Single forward-fill imputation
micro,3,1.8528248953822228,1.9092809765234535,hh-09,Single forward-fill imputation
small,15,0.025439548223461277,0.05203893093830659,hh-09,Single forward-fill imputation
huge,1800,0.37842578490046586,0.38896700217139146,hh-09,Single seasonal-profile imputation
large,720,0.3847626467281113,0.8066567981692788,hh-09,Single seasonal-profile imputation
medium,120,0.6900051645158446,1.4690553779476356,hh-09,Single seasonal-profile imputation
micro,3,4.469350013418716,4.493048330122,hh-09,Single seasonal-profile imputation
small,15,0.18446572996866165,0.1916112351039024,hh-09,Single seasonal-profile imputation
huge,1800,0.18094923450657,0.20782806264296586,hh-09,Gap-adaptive imputation
large,720,0.3557446283134457,0.7366008244779559,hh-09,Gap-adaptive imputation
medium,120,0.6900051645158446,1.4690553779476356,hh-09,Gap-adaptive imputation
micro,3,3.201316178870966,3.208365115775303,hh-09,Gap-adaptive imputation
small,15,0.025439548223461277,0.05203893093830659,hh-09,Gap-adaptive imputation
huge,1800,0.11995127231788795,0.38973460055285725,hh-10,Single linear imputation
large,720,0.13395838563045787,0.5405828951116423,hh-10,Single linear imputation
medium,120,0.1325526581741057,0.2384453906407203,hh-10,Single linear imputation
micro,3,0.04928495262542392,0.07900236096611063,hh-10,Single linear imputation
small,15,0.33621612674485807,0.7758634224828644,hh-10,Single linear imputation
huge,1800,0.15560416248028724,0.3900985991182465,hh-10,Single forward-fill imputation
large,720,0.13395838563045787,0.5405828951116423,hh-10,Single forward-fill imputation
medium,120,0.08978991964638632,0.24443967528341665,hh-10,Single forward-fill imputation
micro,3,0.04928495262542392,0.08536404199585935,hh-10,Single forward-fill imputation
small,15,0.32519854835773304,0.8154091538621684,hh-10,Single forward-fill imputation
huge,1800,0.10034744379770735,0.39475383969467326,hh-10,Single seasonal-profile imputation
large,720,0.13582447137030498,0.5344677193857817,hh-10,Single seasonal-profile imputation
medium,120,0.09267052043239715,0.2377624263061218,hh-10,Single seasonal-profile imputation
micro,3,0.05595270428118234,0.07560046910121516,hh-10,Single seasonal-profile imputation
small,15,0.3212227273270992,0.8043357067846172,hh-10,Single seasonal-profile imputation
huge,1800,0.14681475409526673,0.3836310424085009,hh-10,Gap-adaptive imputation
large,720,0.24041695809629088,0.5405110567109237,hh-10,Gap-adaptive imputation
medium,120,0.09267052043239715,0.2377624263061218,hh-10,Gap-adaptive imputation
micro,3,0.04928495262542392,0.07900236096611063,hh-10,Gap-adaptive imputation
small,15,0.33621612674485807,0.7758634224828644,hh-10,Gap-adaptive imputation
huge,1800,0.21509700540788623,0.7865439847439879,hh-11,Single linear imputation
large,720,0.3169145187577056,1.0843353747103393,hh-11,Single linear imputation
medium,120,0.06430060503496669,0.08005360972827189,hh-11,Single linear imputation
micro,3,0.06706373083534872,0.0818546002014884,hh-11,Single linear imputation
small,15,0.4687997480588503,0.8763352133698135,hh-11,Single linear imputation
huge,1800,0.21527927696935167,0.7843489945422972,hh-11,Single forward-fill imputation
large,720,0.3169145187577056,1.0843353747103393,hh-11,Single forward-fill imputation
medium,120,0.06091765967915656,0.08168915007814316,hh-11,Single forward-fill imputation
micro,3,0.06264663103336698,0.07495657845612946,hh-11,Single forward-fill imputation
small,15,0.4777226333153505,0.8808624391386833,hh-11,Single forward-fill imputation
huge,1800,0.21753843371296877,0.777479246054901,hh-11,Single seasonal-profile imputation
large,720,0.31558320615254,1.0694613756619271,hh-11,Single seasonal-profile imputation
medium,120,0.05853622564537638,0.08484165613634163,hh-11,Single seasonal-profile imputation
micro,3,0.056093434457828696,0.06480299046107545,hh-11,Single seasonal-profile imputation
small,15,0.43196472972727207,0.8423692127461799,hh-11,Single seasonal-profile imputation
huge,1800,0.306197757025932,0.7448915297185188,hh-11,Gap-adaptive imputation
large,720,0.3919792001912521,1.0101720119019475,hh-11,Gap-adaptive imputation
medium,120,0.05853622564537638,0.08484165613634163,hh-11,Gap-adaptive imputation
micro,3,0.06706373083534872,0.0818546002014884,hh-11,Gap-adaptive imputation
small,15,0.4687997480588503,0.8763352133698135,hh-11,Gap-adaptive imputation
huge,1800,0.04550388803848515,0.16225472225422335,hh-12,Single linear imputation
large,720,0.03152038680751115,0.10611625053630165,hh-12,Single linear imputation
medium,120,0.008555496553308095,0.015038891709096237,hh-12,Single linear imputation
micro,3,0.01744997092172226,0.02225467050767103,hh-12,Single linear imputation
small,15,0.005436663393952252,0.010693330534708981,hh-12,Single linear imputation
huge,1800,0.050686465872655656,0.15979005871710641,hh-12,Single forward-fill imputation
large,720,0.02555722028236164,0.10709004158838764,hh-12,Single forward-fill imputation
medium,120,0.00844175488910365,0.016088897576538155,hh-12,Single forward-fill imputation
micro,3,0.01744997092172226,0.024357074077698788,hh-12,Single forward-fill imputation
small,15,0.005436663393952252,0.010693330534708981,hh-12,Single forward-fill imputation
huge,1800,0.043465872688705914,0.16228684986399047,hh-12,Single seasonal-profile imputation
large,720,0.025963645178870814,0.10663170289657119,hh-12,Single seasonal-profile imputation
medium,120,0.009211388338750038,0.013845661439960662,hh-12,Single seasonal-profile imputation
micro,3,0.015553019603260406,0.0206650043379028,hh-12,Single seasonal-profile imputation
small,15,0.007942101569694148,0.00953792574717803,hh-12,Single seasonal-profile imputation
huge,1800,0.05967641266359291,0.15537551470038324,hh-12,Gap-adaptive imputation
large,720,0.03896295649465907,0.10534473633145798,hh-12,Gap-adaptive imputation
medium,120,0.009211388338750038,0.013845661439960662,hh-12,Gap-adaptive imputation
micro,3,0.01744997092172226,0.02225467050767103,hh-12,Gap-adaptive imputation
small,15,0.005436663393952252,0.010693330534708981,hh-12,Gap-adaptive imputation
huge,1800,0.8748152186751283,2.042299168285358,hh-13,Single linear imputation
large,720,0.14221927839324458,0.26581061217339,hh-13,Single linear imputation
medium,120,0.2823225375929291,0.6098130406477325,hh-13,Single linear imputation
micro,3,0.34898228578643353,0.39005324990246304,hh-13,Single linear imputation
small,15,2.8716024189537235,3.4371256514002324,hh-13,Single linear imputation
huge,1800,1.1428647977172732,1.9701187567352907,hh-13,Single forward-fill imputation
large,720,0.14221927839324458,0.26581061217339,hh-13,Single forward-fill imputation
medium,120,0.44956221932405616,0.6589654412228966,hh-13,Single forward-fill imputation
micro,3,0.3387718559332132,0.38184472473473186,hh-13,Single forward-fill imputation
small,15,6.975359259594473,7.193401227006105,hh-13,Single forward-fill imputation
huge,1800,0.6870069512831961,2.0525511161664274,hh-13,Single seasonal-profile imputation
large,720,0.1430118627663452,0.2389515714084874,hh-13,Single seasonal-profile imputation
medium,120,0.2066875943009011,0.5986524696756493,hh-13,Single seasonal-profile imputation
micro,3,0.3306674988290296,0.3746732152385005,hh-13,Single seasonal-profile imputation
small,15,1.2182403729610898,2.1095223271881727,hh-13,Single seasonal-profile imputation
huge,1800,0.806338100685557,1.891952971618948,hh-13,Gap-adaptive imputation
large,720,0.23780023906240977,0.3201043304672812,hh-13,Gap-adaptive imputation
medium,120,0.2066875943009011,0.5986524696756493,hh-13,Gap-adaptive imputation
micro,3,0.34898228578643353,0.39005324990246304,hh-13,Gap-adaptive imputation
small,15,2.8716024189537235,3.4371256514002324,hh-13,Gap-adaptive imputation
huge,1800,0.0032582917077188162,0.004049168326039004,hh-14,Single linear imputation
large,720,0.054952484786264084,0.08933220034758234,hh-14,Single linear imputation
medium,120,0.01086482243753727,0.049226850079162957,hh-14,Single linear imputation
micro,3,0.0024945269752567763,0.0031533005081465283,hh-14,Single linear imputation
small,15,0.0022923563777141626,0.003279560137741481,hh-14,Single linear imputation
huge,1800,0.0031440117001382472,0.003919344436384176,hh-14,Single forward-fill imputation
large,720,0.054892204419340444,0.09009534837115472,hh-14,Single forward-fill imputation
medium,120,0.01080914935771664,0.04944586737261488,hh-14,Single forward-fill imputation
micro,3,0.0024945269752567763,0.0031533005081465283,hh-14,Single forward-fill imputation
small,15,0.002831732484374681,0.003814683470726543,hh-14,Single forward-fill imputation
huge,1800,0.003408711179644721,0.004299158989394042,hh-14,Single seasonal-profile imputation
large,720,0.07526278414964523,0.084853893405286,hh-14,Single seasonal-profile imputation
medium,120,0.10133949619552221,0.10215658997800729,hh-14,Single seasonal-profile imputation
micro,3,0.09783431154265877,0.09785332469717321,hh-14,Single seasonal-profile imputation
small,15,0.001972861033125888,0.0027394166064286197,hh-14,Single seasonal-profile imputation
huge,1800,0.02481622665389579,0.025407425402604537,hh-14,Gap-adaptive imputation
large,720,0.07047874736369696,0.0760547224816696,hh-14,Gap-adaptive imputation
medium,120,0.10133949619552221,0.10215658997800729,hh-14,Gap-adaptive imputation
micro,3,0.0024945269752567763,0.0031533005081465283,hh-14,Gap-adaptive imputation
small,15,0.0022923563777141626,0.003279560137741481,hh-14,Gap-adaptive imputation
huge,1800,0.11859788963827543,0.14743268446037686,hh-15,Single linear imputation
large,720,0.4138077234163137,1.5593302505957247,hh-15,Single linear imputation
medium,120,0.16953091222316002,0.4456333245624297,hh-15,Single linear imputation
micro,3,0.20399649311307422,0.20845874966041034,hh-15,Single linear imputation
small,15,0.1685227459202258,0.18176076893647303,hh-15,Single linear imputation
huge,1800,0.1377665746294695,0.17001584146653276,hh-15,Single forward-fill imputation
large,720,0.4138077234163137,1.5593302505957247,hh-15,Single forward-fill imputation
medium,120,0.1669624754845866,0.4536875631489694,hh-15,Single forward-fill imputation
micro,3,0.5251195744784468,0.5758469353459794,hh-15,Single forward-fill imputation
small,15,0.13480424913249275,0.14467848724743196,hh-15,Single forward-fill imputation
huge,1800,0.33217446084665364,0.35882303107894276,hh-15,Single seasonal-profile imputation
large,720,0.4200362393823642,1.5417695172943153,hh-15,Single seasonal-profile imputation
medium,120,0.1709835147582774,0.449596219909432,hh-15,Single seasonal-profile imputation
micro,3,0.297281094586376,0.3522105876892633,hh-15,Single seasonal-profile imputation
small,15,0.06741533550458138,0.08099023565358916,hh-15,Single seasonal-profile imputation
huge,1800,0.18016172657919172,0.22093789307844003,hh-15,Gap-adaptive imputation
large,720,0.5929496402362898,1.514998117665825,hh-15,Gap-adaptive imputation
medium,120,0.1709835147582774,0.449596219909432,hh-15,Gap-adaptive imputation
micro,3,0.20399649311307422,0.20845874966041034,hh-15,Gap-adaptive imputation
small,15,0.1685227459202258,0.18176076893647303,hh-15,Gap-adaptive imputation
huge,1800,0.28384858590540407,0.8942875921077357,hh-16,Single linear imputation
large,720,0.06755766334420718,0.08349879886109225,hh-16,Single linear imputation
medium,120,0.513148886023007,1.2010281727806662,hh-16,Single linear imputation
micro,3,0.03660548746644821,0.04582661177656847,hh-16,Single linear imputation
small,15,0.05966581045982204,0.07568770058600853,hh-16,Single linear imputation
huge,1800,0.28384858590540407,0.8942875921077357,hh-16,Single forward-fill imputation
